From;To;Value;col
Syria;Austria;49200;#e8702a
Syria;Belgium;1285;#e8702a
Syria;France;17135;#e8702a
Syria;Germany;527735;#e8702a
Syria;Greece;48580;#e8702a
Syria;Hungary;77030;#e8702a
Syria;Italy;3520;#e8702a
Syria;Netherlands;33805;#e8702a
Syria;Sweden;93270;#e8702a
Syria;Switzerland;12760;#e8702a
Syria;United Kingdom;7575;#e8702a
Syria;East Med s;7590;#e8702a
Iraq;Austria;19025;#e8702a
Iraq;Belgium;13405;#e8702a
Iraq;France;9060;#e8702a
Iraq;Germany;164245;#e8702a
Iraq;Greece;14520;#e8702a
Iraq;Hungary;14110;#e8702a
Iraq;Italy;4675;#e8702a
Iraq;Netherlands;6960;#e8702a
Iraq;Sweden;28215;#e8702a
Iraq;Switzerland;4790;#e8702a
Iraq;United Kingdom;10980;#e8702a
Iraq;East Med s;2522;#e8702a
Eritrea;Germany;54725;#e8702a
Eritrea;Italy;15265;#e8702a
Eritrea;Sweden;21815;#e8702a
Eritrea;France;4245;#e8702a
Eritrea;Hungary;720;#e8702a
Eritrea;Austria;370;#e8702a
Eritrea;Greece;1160;#e8702a
Eritrea;Netherlands;15270;#e8702a
Eritrea;Switzerland;25690;#e8702a
Eritrea;United Kingdom;9615;#e8702a
Eritrea;Belgium;2250;#e8702a
Eritrea;East Med s;1315;#e8702a
Nigeria;Austria;5395;#e8702a
Nigeria;Belgium;555;#e8702a
Nigeria;France;7700;#e8702a
Nigeria;Germany;32170;#e8702a
Nigeria;Greece;1180;#e8702a
Nigeria;Hungary;1355;#e8702a
Nigeria;Italy;85660;#e8702a
Nigeria;Netherlands;1215;#e8702a
Nigeria;Sweden;1760;#e8702a
Nigeria;Switzerland;3745;#e8702a
Nigeria;United Kingdom;6805;#e8702a
Nigeria;West Med s;324;#e8702a
Nigeria;Mid Med xl;1024;#e8702a
Somalia;Austria;5500;#e8702a
Somalia;Belgium;3800;#e8702a
Somalia;France;4045;#e8702a
Somalia;Germany;29820;#e8702a
Somalia;Greece;610;#e8702a
Somalia;Hungary;880;#e8702a
Somalia;Italy;6120;#e8702a
Somalia;Netherlands;1530;#e8702a
Somalia;Sweden;12915;#e8702a
Somalia;Switzerland;4585;#e8702a
Somalia;United Kingdom;1645;#e8702a
Somalia;East Med s;150;#e8702a
Somalia;Mid Med xl;514;#e8702a
Gambia, The;Germany;14025;#e8702a
Gambia, The;Italy;35090;#e8702a
Gambia, The;Sweden;660;#e8702a
Gambia, The;France;655;#e8702a
Gambia, The;Hungary;255;#e8702a
Gambia, The;Austria;730;#e8702a
Gambia, The;Greece;80;#e8702a
Gambia, The;Netherlands;505;#e8702a
Gambia, The;Switzerland;2805;#e8702a
Gambia, The;United Kingdom;860;#e8702a
Gambia, The;Belgium;235;#e8702a
Gambia, The;West Med s;100;#e8702a
Gambia, The;Mid Med m;372;#e8702a
Guinea;Austria;200;#e8702a
Guinea;Belgium;4230;#e8702a
Guinea;France;12125;#e8702a
Guinea;Germany;10000;#e8702a
Guinea;Greece;250;#e8702a
Guinea;Hungary;145;#e8702a
Guinea;Italy;17020;#e8702a
Guinea;Netherlands;800;#e8702a
Guinea;Sweden;210;#e8702a
Guinea;Switzerland;2225;#e8702a
Guinea;United Kingdom;145;#e8702a
Guinea;West Med m;200;#e8702a
Guinea;Mid Med l;318;#e8702a
Mali;Austria;110;#e8702a
Mali;Belgium;245;#e8702a
Mali;France;6650;#e8702a
Mali;Germany;3045;#e8702a
Mali;Greece;230;#e8702a
Mali;Hungary;415;#e8702a
Mali;Italy;30005;#e8702a
Mali;Netherlands;150;#e8702a
Mali;Sweden;60;#e8702a
Mali;Switzerland;640;#e8702a
Mali;United Kingdom;20;#e8702a
Mali;West Med s;123;#e8702a
Mali;Mid Med m;362;#e8702a
Sudan;Austria;325;#e8702a
Sudan;Belgium;540;#e8702a
Sudan;France;18540;#e8702a
Sudan;Germany;6180;#e8702a
Sudan;Greece;595;#e8702a
Sudan;Hungary;360;#e8702a
Sudan;Italy;1420;#e8702a
Sudan;Netherlands;1045;#e8702a
Sudan;Sweden;1220;#e8702a
Sudan;Switzerland;745;#e8702a
Sudan;United Kingdom;8145;#e8702a
Sudan;Mid Med xl;1054;#e8702a
Algeria;Germany;10995;#e8702a
Algeria;Italy;565;#e8702a
Algeria;Sweden;1350;#e8702a
